"Country","Year","Value","source","iso3c"
"China",1996,1.48,"Figure1-a","CHN"
"China",1997,1.77,"Figure1-a","CHN"
"China",1998,1.65,"Figure1-a","CHN"
"China",1999,1.95,"Figure1-a","CHN"
"China",2000,2.49,"Figure1-a","CHN"
"China",2001,2.56,"Figure1-a","CHN"
"China",2002,3.23,"Figure1-a","CHN"
"China",2003,4.03,"Figure1-a","CHN"
"China",2004,4.7,"Figure1-a","CHN"
"China",2005,5.34,"Figure1-a","CHN"
"China",2006,6.46,"Figure1-a","CHN"
"China",2007,7.33,"Figure1-a","CHN"
"China",2008,8.86,"Figure1-a","CHN"
"China",2009,10.42,"Figure1-a","CHN"
"China",2010,12.54,"Figure1-a","CHN"
"China",2011,14.55,"Figure1-a","CHN"
"China",2012,16.78,"Figure1-a","CHN"
"China",2013,19.52,"Figure1-a","CHN"
"China",2014,22.23,"Figure1-a","CHN"
"China",2015,23.82,"Figure1-a","CHN"
"China",2016,25.77,"Figure1-a","CHN"
"China",2017,27.29,"Figure1-a","CHN"
"China",2018,30.31,"Figure1-a","CHN"
"China",2019,33.11,"Figure1-a","CHN"
"China",2020,32.33,"Figure1-a","CHN"
"China",2021,36.41,"Figure1-a","CHN"
"China",2022,41.41,"Figure1-a","CHN"
"US",1996,22.61,"Figure1-a","USA"
"US",1997,21.86,"Figure1-a","USA"
"US",1998,22.4,"Figure1-a","USA"
"US",1999,23.57,"Figure1-a","USA"
"US",2000,23.21,"Figure1-a","USA"
"US",2001,23.03,"Figure1-a","USA"
"US",2002,23.59,"Figure1-a","USA"
"US",2003,25.05,"Figure1-a","USA"
"US",2004,24.73,"Figure1-a","USA"
"US",2005,25.42,"Figure1-a","USA"
"US",2006,25.19,"Figure1-a","USA"
"US",2007,24.85,"Figure1-a","USA"
"US",2008,22.89,"Figure1-a","USA"
"US",2009,22.02,"Figure1-a","USA"
"US",2010,20.8,"Figure1-a","USA"
"US",2011,20.27,"Figure1-a","USA"
"US",2012,18.65,"Figure1-a","USA"
"US",2013,17.57,"Figure1-a","USA"
"US",2014,16.22,"Figure1-a","USA"
"US",2015,14.63,"Figure1-a","USA"
"US",2016,14.94,"Figure1-a","USA"
"US",2017,14.71,"Figure1-a","USA"
"US",2018,14.37,"Figure1-a","USA"
"US",2019,12.96,"Figure1-a","USA"
"US",2020,13.67,"Figure1-a","USA"
"US",2021,12.36,"Figure1-a","USA"
"US",2022,10.82,"Figure1-a","USA"
"India",1996,1.83,"Figure1-a","IND"
"India",1997,1.96,"Figure1-a","IND"
"India",1998,1.85,"Figure1-a","IND"
"India",1999,2.05,"Figure1-a","IND"
"India",2000,2.25,"Figure1-a","IND"
"India",2001,2.81,"Figure1-a","IND"
"India",2002,2.91,"Figure1-a","IND"
"India",2003,3.14,"Figure1-a","IND"
"India",2004,3.71,"Figure1-a","IND"
"India",2005,3.62,"Figure1-a","IND"
"India",2006,4.26,"Figure1-a","IND"
"India",2007,4.67,"Figure1-a","IND"
"India",2008,4.46,"Figure1-a","IND"
"India",2009,4.99,"Figure1-a","IND"
"India",2010,5.68,"Figure1-a","IND"
"India",2011,5.97,"Figure1-a","IND"
"India",2012,7.09,"Figure1-a","IND"
"India",2013,7.9,"Figure1-a","IND"
"India",2014,8.87,"Figure1-a","IND"
"India",2015,8.5,"Figure1-a","IND"
"India",2016,8.34,"Figure1-a","IND"
"India",2017,8.12,"Figure1-a","IND"
"India",2018,7.07,"Figure1-a","IND"
"India",2019,7.26,"Figure1-a","IND"
"India",2020,6.63,"Figure1-a","IND"
"India",2021,6.35,"Figure1-a","IND"
"India",2022,7.49,"Figure1-a","IND"
"Japan",1996,12.39,"Figure1-a","JPN"
"Japan",1997,12.83,"Figure1-a","JPN"
"Japan",1998,13.17,"Figure1-a","JPN"
"Japan",1999,12.4,"Figure1-a","JPN"
"Japan",2000,14.37,"Figure1-a","JPN"
"Japan",2001,14.27,"Figure1-a","JPN"
"Japan",2002,13.34,"Figure1-a","JPN"
"Japan",2003,12.31,"Figure1-a","JPN"
"Japan",2004,12.36,"Figure1-a","JPN"
"Japan",2005,11.53,"Figure1-a","JPN"
"Japan",2006,11.25,"Figure1-a","JPN"
"Japan",2007,10.85,"Figure1-a","JPN"
"Japan",2008,10.56,"Figure1-a","JPN"
"Japan",2009,10.49,"Figure1-a","JPN"
"Japan",2010,8.78,"Figure1-a","JPN"
"Japan",2011,8.73,"Figure1-a","JPN"
"Japan",2012,9.12,"Figure1-a","JPN"
"Japan",2013,8.2,"Figure1-a","JPN"
"Japan",2014,7.54,"Figure1-a","JPN"
"Japan",2015,7.56,"Figure1-a","JPN"
"Japan",2016,7.01,"Figure1-a","JPN"
"Japan",2017,7.01,"Figure1-a","JPN"
"Japan",2018,6.69,"Figure1-a","JPN"
"Japan",2019,6.24,"Figure1-a","JPN"
"Japan",2020,6.34,"Figure1-a","JPN"
"Japan",2021,5.94,"Figure1-a","JPN"
"Japan",2022,5.07,"Figure1-a","JPN"
"Germany",1996,7.54,"Figure1-a","DEU"
"Germany",1997,8.86,"Figure1-a","DEU"
"Germany",1998,8.3,"Figure1-a","DEU"
"Germany",1999,8.11,"Figure1-a","DEU"
"Germany",2000,7.93,"Figure1-a","DEU"
"Germany",2001,7.49,"Figure1-a","DEU"
"Germany",2002,6.76,"Figure1-a","DEU"
