"Country","Year","Value","source","iso3c"
"GE",1996,NA,"Figure-12-a_b","GEO"
"GE",1997,NA,"Figure-12-a_b","GEO"
"GE",1998,NA,"Figure-12-a_b","GEO"
"GE",1999,NA,"Figure-12-a_b","GEO"
"GE",2000,0.00244684234994739,"Figure-12-a_b","GEO"
"GE",2001,NA,"Figure-12-a_b","GEO"
"GE",2002,0.00376435159043855,"Figure-12-a_b","GEO"
"GE",2003,NA,"Figure-12-a_b","GEO"
"GE",2004,NA,"Figure-12-a_b","GEO"
"GE",2005,0.0235336712527154,"Figure-12-a_b","GEO"
"GE",2006,NA,"Figure-12-a_b","GEO"
"GE",2007,0.00467761018096091,"Figure-12-a_b","GEO"
"GE",2008,0.00585445816989638,"Figure-12-a_b","GEO"
"GE",2009,0.0454244729092519,"Figure-12-a_b","GEO"
"GE",2010,0.00290527992018725,"Figure-12-a_b","GEO"
"GE",2011,0.00228227999771772,"Figure-12-a_b","GEO"
"GE",2012,NA,"Figure-12-a_b","GEO"
"GE",2013,NA,"Figure-12-a_b","GEO"
"GE",2014,NA,"Figure-12-a_b","GEO"
"GE",2015,NA,"Figure-12-a_b","GEO"
"GE",2016,0.00025404438663523,"Figure-12-a_b","GEO"
"GE",2017,0.0166830352846061,"Figure-12-a_b","GEO"
"GE",2018,0.00699665831244779,"Figure-12-a_b","GEO"
"GE",2019,0.0101278638814016,"Figure-12-a_b","GEO"
"GE",2020,0.00215387266304816,"Figure-12-a_b","GEO"
"GE",2021,NA,"Figure-12-a_b","GEO"
"GE",2022,NA,"Figure-12-a_b","GEO"
"AZ",1996,0.01469076815389,"Figure-12-a_b","AZE"
"AZ",1997,NA,"Figure-12-a_b","AZE"
"AZ",1998,NA,"Figure-12-a_b","AZE"
"AZ",1999,NA,"Figure-12-a_b","AZE"
"AZ",2000,NA,"Figure-12-a_b","AZE"
"AZ",2001,0.0125580060278429,"Figure-12-a_b","AZE"
"AZ",2002,NA,"Figure-12-a_b","AZE"
"AZ",2003,0.0112892300745089,"Figure-12-a_b","AZE"
"AZ",2004,0.0108949769616633,"Figure-12-a_b","AZE"
"AZ",2005,0.00905141202027516,"Figure-12-a_b","AZE"
"AZ",2006,0.00062503062653132,"Figure-12-a_b","AZE"
"AZ",2007,0.0184332147300867,"Figure-12-a_b","AZE"
"AZ",2008,NA,"Figure-12-a_b","AZE"
"AZ",2009,0.00541995627901935,"Figure-12-a_b","AZE"
"AZ",2010,0.00463656421472699,"Figure-12-a_b","AZE"
"AZ",2011,0.00674721847125278,"Figure-12-a_b","AZE"
"AZ",2012,0.0204061584770583,"Figure-12-a_b","AZE"
"AZ",2013,0.00405335892514395,"Figure-12-a_b","AZE"
"AZ",2014,0.0009210927270563,"Figure-12-a_b","AZE"
"AZ",2015,NA,"Figure-12-a_b","AZE"
"AZ",2016,0.00497201447036826,"Figure-12-a_b","AZE"
"AZ",2017,0.0102389843885349,"Figure-12-a_b","AZE"
"AZ",2018,0.0231846282372598,"Figure-12-a_b","AZE"
"AZ",2019,0.0121668210916442,"Figure-12-a_b","AZE"
"AZ",2020,0.00338466011889377,"Figure-12-a_b","AZE"
"AZ",2021,NA,"Figure-12-a_b","AZE"
"AZ",2022,0.00650708865083819,"Figure-12-a_b","AZE"
"TW",1996,1.28245923314235,"Figure-12-a_b","TWN"
"TW",1997,1.59237765477555,"Figure-12-a_b","TWN"
"TW",1998,1.41955658423681,"Figure-12-a_b","TWN"
"TW",1999,1.58651278791139,"Figure-12-a_b","TWN"
"TW",2000,0.773383248917272,"Figure-12-a_b","TWN"
"TW",2001,1.13122757498924,"Figure-12-a_b","TWN"
"TW",2002,1.04275362318841,"Figure-12-a_b","TWN"
"TW",2003,1.05058026642583,"Figure-12-a_b","TWN"
"TW",2004,1.43417618085662,"Figure-12-a_b","TWN"
"TW",2005,1.31392559739319,"Figure-12-a_b","TWN"
"TW",2006,1.43121062303115,"Figure-12-a_b","TWN"
"TW",2007,1.36363100565366,"Figure-12-a_b","TWN"
"TW",2008,1.61103955662237,"Figure-12-a_b","TWN"
"TW",2009,1.54820689779769,"Figure-12-a_b","TWN"
"TW",2010,1.47307087218449,"Figure-12-a_b","TWN"
"TW",2011,1.71027786758972,"Figure-12-a_b","TWN"
"TW",2012,1.35936584770583,"Figure-12-a_b","TWN"
"TW",2013,1.27313527497288,"Figure-12-a_b","TWN"
"TW",2014,1.03971806077508,"Figure-12-a_b","TWN"
"TW",2015,1.00861114250198,"Figure-12-a_b","TWN"
"TW",2016,0.986799853670433,"Figure-12-a_b","TWN"
"TW",2017,1.01773277637683,"Figure-12-a_b","TWN"
"TW",2018,0.787852965747703,"Figure-12-a_b","TWN"
"TW",2019,0.852261623989218,"Figure-12-a_b","TWN"
"TW",2020,0.605197294735935,"Figure-12-a_b","TWN"
"TW",2021,0.72255867110236,"Figure-12-a_b","TWN"
"TW",2022,0.642710036358313,"Figure-12-a_b","TWN"
"XK",1996,NA,"Figure-12-a_b",NA
"XK",1997,NA,"Figure-12-a_b",NA
"XK",1998,NA,"Figure-12-a_b",NA
"XK",1999,NA,"Figure-12-a_b",NA
"XK",2000,NA,"Figure-12-a_b",NA
"XK",2001,NA,"Figure-12-a_b",NA
"XK",2002,NA,"Figure-12-a_b",NA
"XK",2003,NA,"Figure-12-a_b",NA
"XK",2004,NA,"Figure-12-a_b",NA
"XK",2005,NA,"Figure-12-a_b",NA
"XK",2006,NA,"Figure-12-a_b",NA
"XK",2007,NA,"Figure-12-a_b",NA
"XK",2008,NA,"Figure-12-a_b",NA
"XK",2009,NA,"Figure-12-a_b",NA
"XK",2010,NA,"Figure-12-a_b",NA
"XK",2011,NA,"Figure-12-a_b",NA
"XK",2012,0.00929757159127888,"Figure-12-a_b",NA
"XK",2013,NA,"Figure-12-a_b",NA
"XK",2014,0.00051014335028142,"Figure-12-a_b",NA
"XK",2015,NA,"Figure-12-a_b",NA
"XK",2016,NA,"Figure-12-a_b",NA
"XK",2017,NA,"Figure-12-a_b",NA
"XK",2018,NA,"Figure-12-a_b",NA
"XK",2019,0.00035096655997304,"Figure-12-a_b",NA
"XK",2020,0.00071795683639183,"Figure-12-a_b",NA
"XK",2021,NA,"Figure-12-a_b",NA
"XK",2022,NA,"Figure-12-a_b",NA
"CU",1996,0.0224682290721489,"Figure-12-a_b","CUB"
"CU",1997,0.00914388822511034,"Figure-12-a_b","CUB"
"CU",1998,0.0138059934218541,"Figure-12-a_b","CUB"
"CU",1999,NA,"Figure-12-a_b","CUB"
"CU",2000,0.00550539528738163,"Figure-12-a_b","CUB"
"CU",2001,0.0047840022963211,"Figure-12-a_b","CUB"
"CU",2002,NA,"Figure-12-a_b","CUB"
"CU",2003,0.0436893203883495,"Figure-12-a_b","CUB"
"CU",2004,0.0226978686701319,"Figure-12-a_b","CUB"
"CU",2005,0.0113789147356988,"Figure-12-a_b","CUB"
"CU",2006,0.00072920239761988,"Figure-12-a_b","CUB"
"CU",2007,0.0333980921612713,"Figure-12-a_b","CUB"
"CU",2008,0.0158070370587202,"Figure-12-a_b","CUB"
"CU",2009,0.0221616592292822,"Figure-12-a_b","CUB"
"CU",2010,0.00703478377652431,"Figure-12-a_b","CUB"
"CU",2011,0.00618117499381882,"Figure-12-a_b","CUB"
"CU",2012,0.0212196957370648,"Figure-12-a_b","CUB"
"CU",2013,0.00166903112743053,"Figure-12-a_b","CUB"
"CU",2014,0.00529037359498019,"Figure-12-a_b","CUB"
"CU",2015,0.0182694843108449,"Figure-12-a_b","CUB"
"CU",2016,0.00722616047475815,"Figure-12-a_b","CUB"
"CU",2017,0.012068047508133,"Figure-12-a_b","CUB"
"CU",2018,0.00995183792815372,"Figure-12-a_b","CUB"
"CU",2019,0.103384433962264,"Figure-12-a_b","CUB"
"CU",2020,0.0381138537089687,"Figure-12-a_b","CUB"
"CU",2021,0.00452621811845113,"Figure-12-a_b","CUB"
"CU",2022,0.00417783851052927,"Figure-12-a_b","CUB"
"GH",1996,NA,"Figure-12-a_b","GHA"
"GH",1997,NA,"Figure-12-a_b","GHA"
"GH",1998,NA,"Figure-12-a_b","GHA"
"GH",1999,NA,"Figure-12-a_b","GHA"
"GH",2000,NA,"Figure-12-a_b","GHA"
"GH",2001,NA,"Figure-12-a_b","GHA"
"GH",2002,NA,"Figure-12-a_b","GHA"
"GH",2003,NA,"Figure-12-a_b","GHA"
"GH",2004,NA,"Figure-12-a_b","GHA"
"GH",2005,NA,"Figure-12-a_b","GHA"
"GH",2006,NA,"Figure-12-a_b","GHA"
"GH",2007,NA,"Figure-12-a_b","GHA"
"GH",2008,NA,"Figure-12-a_b","GHA"
"GH",2009,0.019873173023071,"Figure-12-a_b","GHA"
"GH",2010,0.0594758451325736,"Figure-12-a_b","GHA"
"GH",2011,NA,"Figure-12-a_b","GHA"
"GH",2012,NA,"Figure-12-a_b","GHA"
"GH",2013,NA,"Figure-12-a_b","GHA"
"GH",2014,0.00510143350281429,"Figure-12-a_b","GHA"
"GH",2015,0.00376690398161751,"Figure-12-a_b","GHA"
"GH",2016,0.00040647101861637,"Figure-12-a_b","GHA"
"GH",2017,NA,"Figure-12-a_b","GHA"
"GH",2018,0.00417710944026734,"Figure-12-a_b","GHA"
"GH",2019,0.00242166442048518,"Figure-12-a_b","GHA"
"GH",2020,NA,"Figure-12-a_b","GHA"
"GH",2021,0.00339466358883835,"Figure-12-a_b","GHA"
"GH",2022,NA,"Figure-12-a_b","GHA"
"TZ",1996,NA,"Figure-12-a_b","TZA"
"TZ",1997,0.00406395845017191,"Figure-12-a_b","TZA"
"TZ",1998,NA,"Figure-12-a_b","TZA"
"TZ",1999,NA,"Figure-12-a_b","TZA"
"TZ",2000,NA,"Figure-12-a_b","TZA"
"TZ",2001,NA,"Figure-12-a_b","TZA"
"TZ",2002,NA,"Figure-12-a_b","TZA"
"TZ",2003,NA,"Figure-12-a_b","TZA"
"TZ",2004,NA,"Figure-12-a_b","TZA"
"TZ",2005,NA,"Figure-12-a_b","TZA"
"TZ",2006,NA,"Figure-12-a_b","TZA"
"TZ",2007,NA,"Figure-12-a_b","TZA"
"TZ",2008,NA,"Figure-12-a_b","TZA"
"TZ",2009,NA,"Figure-12-a_b","TZA"
"TZ",2010,NA,"Figure-12-a_b","TZA"
"TZ",2011,NA,"Figure-12-a_b","TZA"
"TZ",2012,NA,"Figure-12-a_b","TZA"
"TZ",2013,0.00071529833931402,"Figure-12-a_b","TZA"
"TZ",2014,NA,"Figure-12-a_b","TZA"
"TZ",2015,0.00926031189964968,"Figure-12-a_b","TZA"
"TZ",2016,0.00067745102024225,"Figure-12-a_b","TZA"
"TZ",2017,0.0153997189551291,"Figure-12-a_b","TZA"
"TZ",2018,0.0121832289055973,"Figure-12-a_b","TZA"
"TZ",2019,NA,"Figure-12-a_b","TZA"
"TZ",2020,NA,"Figure-12-a_b","TZA"
"TZ",2021,NA,"Figure-12-a_b","TZA"
"TZ",2022,0.0001877043019936,"Figure-12-a_b","TZA"
"ER",1996,NA,"Figure-12-a_b","ERI"
"ER",1997,NA,"Figure-12-a_b","ERI"
"ER",1998,NA,"Figure-12-a_b","ERI"
"ER",1999,NA,"Figure-12-a_b","ERI"
"ER",2000,NA,"Figure-12-a_b","ERI"
"ER",2001,NA,"Figure-12-a_b","ERI"
"ER",2002,NA,"Figure-12-a_b","ERI"
"ER",2003,NA,"Figure-12-a_b","ERI"
"ER",2004,NA,"Figure-12-a_b","ERI"
"ER",2005,NA,"Figure-12-a_b","ERI"
"ER",2006,NA,"Figure-12-a_b","ERI"
"ER",2007,NA,"Figure-12-a_b","ERI"
"ER",2008,NA,"Figure-12-a_b","ERI"
"ER",2009,0.00090332604650322,"Figure-12-a_b","ERI"
"ER",2010,NA,"Figure-12-a_b","ERI"
"ER",2011,NA,"Figure-12-a_b","ERI"
"ER",2012,NA,"Figure-12-a_b","ERI"
"ER",2013,NA,"Figure-12-a_b","ERI"
"ER",2014,NA,"Figure-12-a_b","ERI"
"ER",2015,NA,"Figure-12-a_b","ERI"
"ER",2016,NA,"Figure-12-a_b","ERI"
"ER",2017,NA,"Figure-12-a_b","ERI"
"ER",2018,NA,"Figure-12-a_b","ERI"
"ER",2019,NA,"Figure-12-a_b","ERI"
"ER",2020,NA,"Figure-12-a_b","ERI"
"ER",2021,NA,"Figure-12-a_b","ERI"
"ER",2022,NA,"Figure-12-a_b","ERI"
"CY",1996,NA,"Figure-12-a_b","CYP"
"CY",1997,NA,"Figure-12-a_b","CYP"
"CY",1998,NA,"Figure-12-a_b","CYP"
"CY",1999,NA,"Figure-12-a_b","CYP"
"CY",2000,0.00081561330103501,"Figure-12-a_b","CYP"
"CY",2001,0.00257140123427259,"Figure-12-a_b","CYP"
"CY",2002,0.00235271974402409,"Figure-12-a_b","CYP"
"CY",2003,0.0451569202980357,"Figure-12-a_b","CYP"
"CY",2004,0.0158885080690923,"Figure-12-a_b","CYP"
"CY",2005,0.0203656770456191,"Figure-12-a_b","CYP"
"CY",2006,0.00125006344067203,"Figure-12-a_b","CYP"
"CY",2007,0.00191002161053022,"Figure-12-a_b","CYP"
"CY",2008,0.0695378881017895,"Figure-12-a_b","CYP"
"CY",2009,0.0068968220989684,"Figure-12-a_b","CYP"
"CY",2010,0.00955550439353824,"Figure-12-a_b","CYP"
"CY",2011,0.00661136575438864,"Figure-12-a_b","CYP"
"CY",2012,0.0350349821021803,"Figure-12-a_b","CYP"
"CY",2013,0.0375949261453726,"Figure-12-a_b","CYP"
"CY",2014,0.0146322036492254,"Figure-12-a_b","CYP"
"CY",2015,0.0296509963461031,"Figure-12-a_b","CYP"
"CY",2016,0.0379857328672466,"Figure-12-a_b","CYP"
"CY",2017,0.0133143467631716,"Figure-12-a_b","CYP"
"CY",2018,0.0610173350041771,"Figure-12-a_b","CYP"
"CY",2019,0.0127400606469003,"Figure-12-a_b","CYP"
"CY",2020,0.00863715861118291,"Figure-12-a_b","CYP"
"CY",2021,0.0164524407631204,"Figure-12-a_b","CYP"
"CY",2022,0.0470171542910129,"Figure-12-a_b","CYP"
"ID",1996,0.00094272159282399,"Figure-12-a_b","IDN"
"ID",1997,NA,"Figure-12-a_b","IDN"
"ID",1998,NA,"Figure-12-a_b","IDN"
"ID",1999,NA,"Figure-12-a_b","IDN"
"ID",2000,0.0149257383346791,"Figure-12-a_b","IDN"
"ID",2001,NA,"Figure-12-a_b","IDN"
"ID",2002,0.00548967156032373,"Figure-12-a_b","IDN"
"ID",2003,NA,"Figure-12-a_b","IDN"
"ID",2004,0.00329119095716912,"Figure-12-a_b","IDN"
"ID",2005,0.0293792994207096,"Figure-12-a_b","IDN"
"ID",2006,0.0122506125306265,"Figure-12-a_b","IDN"
"ID",2007,NA,"Figure-12-a_b","IDN"
"ID",2008,0.00333766563237906,"Figure-12-a_b","IDN"
"ID",2009,0.00765677223537064,"Figure-12-a_b","IDN"
"ID",2010,0.016116035455278,"Figure-12-a_b","IDN"
"ID",2011,0.0038037999961962,"Figure-12-a_b","IDN"
"ID",2012,0.00538968434754312,"Figure-12-a_b","IDN"
"ID",2013,0.0003338062254861,"Figure-12-a_b","IDN"
"ID",2014,0.00170047783427143,"Figure-12-a_b","IDN"
"ID",2015,NA,"Figure-12-a_b","IDN"
"ID",2016,0.00508088773270466,"Figure-12-a_b","IDN"
"ID",2017,0.0113435484802402,"Figure-12-a_b","IDN"
"ID",2018,0.00116030910609858,"Figure-12-a_b","IDN"
"ID",2019,0.00842318059299192,"Figure-12-a_b","IDN"
"ID",2020,0.00796932885327819,"Figure-12-a_b","IDN"
"ID",2021,0.00932185937040306,"Figure-12-a_b","IDN"
"ID",2022,0.0163926209706937,"Figure-12-a_b","IDN"
"CZ",1996,0.305586809426283,"Figure-12-a_b","CZE"
"CZ",1997,0.134282509570603,"Figure-12-a_b","CZE"
"CZ",1998,0.144504568156901,"Figure-12-a_b","CZE"
"CZ",1999,0.286236490781945,"Figure-12-a_b","CZE"
"CZ",2000,0.942433140032788,"Figure-12-a_b","CZE"
"CZ",2001,0.304422810122949,"Figure-12-a_b","CZE"
"CZ",2002,0.32404714850367,"Figure-12-a_b","CZE"
"CZ",2003,0.962684578911718,"Figure-12-a_b","CZE"
"CZ",2004,0.555425925505595,"Figure-12-a_b","CZE"
"CZ",2005,0.264984612599566,"Figure-12-a_b","CZE"
