"Variable","Year","Value","source"
"China",1996,1.48,"Figure1-a"
"China",1997,1.77,"Figure1-a"
"China",1998,1.65,"Figure1-a"
"China",1999,1.95,"Figure1-a"
"China",2000,2.49,"Figure1-a"
"China",2001,2.56,"Figure1-a"
"China",2002,3.23,"Figure1-a"
"China",2003,4.03,"Figure1-a"
"China",2004,4.7,"Figure1-a"
"China",2005,5.34,"Figure1-a"
"China",2006,6.46,"Figure1-a"
"China",2007,7.33,"Figure1-a"
"China",2008,8.86,"Figure1-a"
"China",2009,10.42,"Figure1-a"
"China",2010,12.54,"Figure1-a"
"China",2011,14.55,"Figure1-a"
"China",2012,16.78,"Figure1-a"
"China",2013,19.52,"Figure1-a"
"China",2014,22.23,"Figure1-a"
"China",2015,23.82,"Figure1-a"
"China",2016,25.77,"Figure1-a"
"China",2017,27.29,"Figure1-a"
"China",2018,30.31,"Figure1-a"
"China",2019,33.11,"Figure1-a"
"China",2020,32.33,"Figure1-a"
"China",2021,36.41,"Figure1-a"
"China",2022,41.41,"Figure1-a"
"US",1996,22.61,"Figure1-a"
"US",1997,21.86,"Figure1-a"
"US",1998,22.4,"Figure1-a"
"US",1999,23.57,"Figure1-a"
"US",2000,23.21,"Figure1-a"
"US",2001,23.03,"Figure1-a"
"US",2002,23.59,"Figure1-a"
"US",2003,25.05,"Figure1-a"
"US",2004,24.73,"Figure1-a"
"US",2005,25.42,"Figure1-a"
"US",2006,25.19,"Figure1-a"
"US",2007,24.85,"Figure1-a"
"US",2008,22.89,"Figure1-a"
"US",2009,22.02,"Figure1-a"
"US",2010,20.8,"Figure1-a"
"US",2011,20.27,"Figure1-a"
"US",2012,18.65,"Figure1-a"
"US",2013,17.57,"Figure1-a"
"US",2014,16.22,"Figure1-a"
"US",2015,14.63,"Figure1-a"
"US",2016,14.94,"Figure1-a"
"US",2017,14.71,"Figure1-a"
"US",2018,14.37,"Figure1-a"
"US",2019,12.96,"Figure1-a"
"US",2020,13.67,"Figure1-a"
"US",2021,12.36,"Figure1-a"
"US",2022,10.82,"Figure1-a"
"India",1996,1.83,"Figure1-a"
"India",1997,1.96,"Figure1-a"
"India",1998,1.85,"Figure1-a"
"India",1999,2.05,"Figure1-a"
"India",2000,2.25,"Figure1-a"
"India",2001,2.81,"Figure1-a"
"India",2002,2.91,"Figure1-a"
"India",2003,3.14,"Figure1-a"
"India",2004,3.71,"Figure1-a"
"India",2005,3.62,"Figure1-a"
"India",2006,4.26,"Figure1-a"
"India",2007,4.67,"Figure1-a"
"India",2008,4.46,"Figure1-a"
"India",2009,4.99,"Figure1-a"
"India",2010,5.68,"Figure1-a"
"India",2011,5.97,"Figure1-a"
"India",2012,7.09,"Figure1-a"
"India",2013,7.9,"Figure1-a"
"India",2014,8.87,"Figure1-a"
"India",2015,8.5,"Figure1-a"
"India",2016,8.34,"Figure1-a"
"India",2017,8.12,"Figure1-a"
"India",2018,7.07,"Figure1-a"
"India",2019,7.26,"Figure1-a"
"India",2020,6.63,"Figure1-a"
"India",2021,6.35,"Figure1-a"
"India",2022,7.49,"Figure1-a"
"Japan",1996,12.39,"Figure1-a"
