"Country","Year","Value","source","iso3c"
"All substances",1996,308716,"Figure2-a",NA
"All substances",1997,315923,"Figure2-a",NA
"All substances",1998,324209,"Figure2-a",NA
"All substances",1999,328921,"Figure2-a",NA
"All substances",2000,336498,"Figure2-a",NA
"All substances",2001,337191,"Figure2-a",NA
"All substances",2002,356519,"Figure2-a",NA
"All substances",2003,375242,"Figure2-a",NA
"All substances",2004,392672,"Figure2-a",NA
"All substances",2005,407744,"Figure2-a",NA
"All substances",2006,417758,"Figure2-a",NA
"All substances",2007,424545,"Figure2-a",NA
"All substances",2008,447229,"Figure2-a",NA
"All substances",2009,482340,"Figure2-a",NA
"All substances",2010,546241,"Figure2-a",NA
"All substances",2011,574354,"Figure2-a",NA
"All substances",2012,574027,"Figure2-a",NA
"All substances",2013,618430,"Figure2-a",NA
"All substances",2014,633468,"Figure2-a",NA
"All substances",2015,627246,"Figure2-a",NA
"All substances",2016,637303,"Figure2-a",NA
"All substances",2017,665233,"Figure2-a",NA
"All substances",2018,674501,"Figure2-a",NA
"All substances",2019,700380,"Figure2-a",NA
"All substances",2020,689565,"Figure2-a",NA
"All substances",2021,719726,"Figure2-a",NA
"All substances",2022,729611,"Figure2-a",NA
"Organic chemicals",1996,284881,"Figure2-a",NA
"Organic chemicals",1997,288915,"Figure2-a",NA
"Organic chemicals",1998,296785,"Figure2-a",NA
"Organic chemicals",1999,298774,"Figure2-a",NA
"Organic chemicals",2000,304730,"Figure2-a",NA
"Organic chemicals",2001,306644,"Figure2-a",NA
"Organic chemicals",2002,320772,"Figure2-a",NA
"Organic chemicals",2003,336038,"Figure2-a",NA
"Organic chemicals",2004,349988,"Figure2-a",NA
"Organic chemicals",2005,364807,"Figure2-a",NA
"Organic chemicals",2006,384807,"Figure2-a",NA
"Organic chemicals",2007,392622,"Figure2-a",NA
"Organic chemicals",2008,417664,"Figure2-a",NA
"Organic chemicals",2009,455282,"Figure2-a",NA
"Organic chemicals",2010,514206,"Figure2-a",NA
"Organic chemicals",2011,544526,"Figure2-a",NA
"Organic chemicals",2012,554374,"Figure2-a",NA
"Organic chemicals",2013,597870,"Figure2-a",NA
"Organic chemicals",2014,608362,"Figure2-a",NA
"Organic chemicals",2015,604057,"Figure2-a",NA
"Organic chemicals",2016,615778,"Figure2-a",NA
"Organic chemicals",2017,642028,"Figure2-a",NA
"Organic chemicals",2018,652980,"Figure2-a",NA
"Organic chemicals",2019,679991,"Figure2-a",NA
"Organic chemicals",2020,670775,"Figure2-a",NA
"Organic chemicals",2021,700603,"Figure2-a",NA
"Organic chemicals",2022,709001,"Figure2-a",NA
"Organometallics",1996,38573,"Figure2-a",NA
"Organometallics",1997,41011,"Figure2-a",NA
"Organometallics",1998,41045,"Figure2-a",NA
"Organometallics",1999,40898,"Figure2-a",NA
"Organometallics",2000,40869,"Figure2-a",NA
"Organometallics",2001,41806,"Figure2-a",NA
"Organometallics",2002,42504,"Figure2-a",NA
"Organometallics",2003,44290,"Figure2-a",NA
"Organometallics",2004,44057,"Figure2-a",NA
"Organometallics",2005,44192,"Figure2-a",NA
"Organometallics",2006,45712,"Figure2-a",NA
"Organometallics",2007,45811,"Figure2-a",NA
"Organometallics",2008,51243,"Figure2-a",NA
"Organometallics",2009,55351,"Figure2-a",NA
"Organometallics",2010,52122,"Figure2-a",NA
"Organometallics",2011,52579,"Figure2-a",NA
"Organometallics",2012,49168,"Figure2-a",NA
"Organometallics",2013,59915,"Figure2-a",NA
"Organometallics",2014,58807,"Figure2-a",NA
"Organometallics",2015,53094,"Figure2-a",NA
"Organometallics",2016,49204,"Figure2-a",NA
"Organometallics",2017,51949,"Figure2-a",NA
"Organometallics",2018,47880,"Figure2-a",NA
"Organometallics",2019,47488,"Figure2-a",NA
"Organometallics",2020,46428,"Figure2-a",NA
"Organometallics",2021,44187,"Figure2-a",NA
"Organometallics",2022,40981,"Figure2-a",NA
"Rare-earth chemicals",1996,8069,"Figure2-a",NA
"Rare-earth chemicals",1997,8290,"Figure2-a",NA
"Rare-earth chemicals",1998,8744,"Figure2-a",NA
"Rare-earth chemicals",1999,8989,"Figure2-a",NA
"Rare-earth chemicals",2000,8363,"Figure2-a",NA
"Rare-earth chemicals",2001,7553,"Figure2-a",NA
"Rare-earth chemicals",2002,8619,"Figure2-a",NA
"Rare-earth chemicals",2003,7449,"Figure2-a",NA
"Rare-earth chemicals",2004,8729,"Figure2-a",NA
"Rare-earth chemicals",2005,7917,"Figure2-a",NA
"Rare-earth chemicals",2006,8328,"Figure2-a",NA
"Rare-earth chemicals",2007,8618,"Figure2-a",NA
"Rare-earth chemicals",2008,8508,"Figure2-a",NA
"Rare-earth chemicals",2009,8845,"Figure2-a",NA
"Rare-earth chemicals",2010,9383,"Figure2-a",NA
"Rare-earth chemicals",2011,9171,"Figure2-a",NA
"Rare-earth chemicals",2012,7612,"Figure2-a",NA
"Rare-earth chemicals",2013,8660,"Figure2-a",NA
"Rare-earth chemicals",2014,9150,"Figure2-a",NA
"Rare-earth chemicals",2015,10146,"Figure2-a",NA
"Rare-earth chemicals",2016,10475,"Figure2-a",NA
"Rare-earth chemicals",2017,11524,"Figure2-a",NA
"Rare-earth chemicals",2018,10624,"Figure2-a",NA
"Rare-earth chemicals",2019,10554,"Figure2-a",NA
"Rare-earth chemicals",2020,10301,"Figure2-a",NA
"Rare-earth chemicals",2021,9616,"Figure2-a",NA
"Rare-earth chemicals",2022,9690,"Figure2-a",NA
"US",1996,20.78,"Figure2-b","USA"
"US",1997,19.11,"Figure2-b","USA"
"US",1998,19.31,"Figure2-b","USA"
"US",1999,19.28,"Figure2-b","USA"
"US",2000,19.94,"Figure2-b","USA"
"US",2001,19.72,"Figure2-b","USA"
"US",2002,20.23,"Figure2-b","USA"
"US",2003,19.99,"Figure2-b","USA"
"US",2004,19.06,"Figure2-b","USA"
"US",2005,19.52,"Figure2-b","USA"
"US",2006,18.68,"Figure2-b","USA"
"US",2007,17.61,"Figure2-b","USA"
"US",2008,20.59,"Figure2-b","USA"
"US",2009,18.44,"Figure2-b","USA"
"US",2010,19.1,"Figure2-b","USA"
"US",2011,18.06,"Figure2-b","USA"
"US",2012,17.2,"Figure2-b","USA"
"US",2013,16.15,"Figure2-b","USA"
"US",2014,14.19,"Figure2-b","USA"
"US",2015,14.22,"Figure2-b","USA"
"US",2016,15.28,"Figure2-b","USA"
"US",2017,15.87,"Figure2-b","USA"
"US",2018,14.37,"Figure2-b","USA"
"US",2019,14.45,"Figure2-b","USA"
"US",2020,14.71,"Figure2-b","USA"
"US",2021,13.92,"Figure2-b","USA"
"US",2022,12.51,"Figure2-b","USA"
